ID,Season,TeamName_A,TeamName_B,TeamID_A,TeamID_B,Score_A,Score_B,FGM_A,FGM_B,FGA_A,FGA_B,FGM3_A,FGM3_B,FGA3_A,FGA3_B,FTM_A,FTM_B,FTA_A,FTA_B,OR_A,OR_B,DR_A,DR_B,Ast_A,Ast_B,TO_A,TO_B,Stl_A,Stl_B,Blk_A,Blk_B,PF_A,PF_B,Region_A,Seed_A,Region_B,Seed_B
2024_1163_1391,2024,Connecticut,Stetson,1163,1391,81.12903225806451,74.48387096774194,28.93548387096774,26.032258064516128,58.806451612903224,56.83870967741935,8.838709677419354,8.67741935483871,24.129032258064516,23.774193548387096,14.419354838709676,13.741935483870968,19.516129032258064,18,10.387096774193548,7.645161290322581,24.870967741935484,21.93548387096774,17.967741935483872,12.677419354838708,9.193548387096774,10.064516129032258,6.516129032258065,4.903225806451613,5.419354838709677,2.967741935483871,16.483870967741936,15.193548387096774,W,1,W,16
2024_1163_1194,2024,Connecticut,FL Atlantic,1163,1194,81.12903225806451,83.03225806451613,28.93548387096774,29.64516129032258,58.806451612903224,61.83870967741935,8.838709677419354,8.806451612903226,24.129032258064516,24.322580645161292,14.419354838709676,14.935483870967742,19.516129032258064,20.741935483870968,10.387096774193548,10.129032258064516,24.870967741935484,25,17.967741935483872,15.35483870967742,9.193548387096774,10.709677419354838,6.516129032258065,7.225806451612903,5.419354838709677,2.967741935483871,16.483870967741936,15.96774193548387,W,1,W,8
2024_1321_1163,2024,Northwestern,Connecticut,1321,1163,74.09677419354838,81.12903225806451,26.483870967741936,28.93548387096774,57.38709677419355,58.806451612903224,8.32258064516129,8.838709677419354,21.032258064516128,24.129032258064516,12.806451612903226,14.419354838709676,17.129032258064516,19.516129032258064,7.193548387096774,10.387096774193548,21.70967741935484,24.870967741935484,15.741935483870968,17.967741935483872,8.064516129032258,9.193548387096774,6.935483870967742,6.516129032258065,3.2580645161290325,5.419354838709677,17.806451612903224,16.483870967741936,W,9,W,1
2024_1163_1361,2024,Connecticut,San Diego St,1163,1361,81.12903225806451,74.24137931034483,28.93548387096774,25.724137931034484,58.806451612903224,57.96551724137931,8.838709677419354,7,24.129032258064516,22.103448275862068,14.419354838709676,15.793103448275863,19.516129032258064,21.586206896551722,10.387096774193548,9.413793103448276,24.870967741935484,23.896551724137932,17.967741935483872,13.03448275862069,9.193548387096774,10.448275862068966,6.516129032258065,7.379310344827586,5.419354838709677,3.862068965517241,16.483870967741936,17.482758620689655,W,1,W,5
2024_1412_1163,2024,UAB,Connecticut,1412,1163,76.8,81.12903225806451,26.4,28.93548387096774,59.13333333333333,58.806451612903224,6.066666666666666,8.838709677419354,18.6,24.129032258064516,17.933333333333334,14.419354838709676,23.966666666666665,19.516129032258064,11.233333333333333,10.387096774193548,24.033333333333335,24.870967741935484,12.933333333333334,17.967741935483872,11.8,9.193548387096774,6.333333333333333,6.516129032258065,4.666666666666666,5.419354838709677,16.233333333333334,16.483870967741936,W,12,W,1
2024_1163_1120,2024,Connecticut,Auburn,1163,1120,81.12903225806451,83.48387096774194,28.93548387096774,28.806451612903224,58.806451612903224,60.903225806451616,8.838709677419354,8.129032258064516,24.129032258064516,23.161290322580644,14.419354838709676,17.741935483870968,19.516129032258064,23.516129032258064,10.387096774193548,9.96774193548387,24.870967741935484,24.387096774193548,17.967741935483872,18,9.193548387096774,10.193548387096774,6.516129032258065,7.483870967741935,5.419354838709677,5.967741935483871,16.483870967741936,19.096774193548388,W,1,W,4
2024_1163_1463,2024,Connecticut,Yale,1163,1463,81.12903225806451,74.14814814814815,28.93548387096774,27.62962962962963,58.806451612903224,59.51851851851852,8.838709677419354,7.296296296296296,24.129032258064516,21,14.419354838709676,11.592592592592593,19.516129032258064,16.14814814814815,10.387096774193548,8.148148148148149,24.870967741935484,24.444444444444443,17.967741935483872,14.518518518518519,9.193548387096774,9,6.516129032258065,5.925925925925926,5.419354838709677,3.185185185185185,16.483870967741936,15.555555555555555,W,1,W,13
2024_1163_1140,2024,Connecticut,BYU,1163,1140,81.12903225806451,82.3125,28.93548387096774,29.53125,58.806451612903224,63.46875,8.838709677419354,11.34375,24.129032258064516,32.125,14.419354838709676,11.90625,19.516129032258064,16.1875,10.387096774193548,10.1875,24.870967741935484,26.1875,17.967741935483872,18.75,9.193548387096774,10.375,6.516129032258065,6,5.419354838709677,3.0625,16.483870967741936,17.625,W,1,W,6
2024_1182_1163,2024,Duquesne,Connecticut,1182,1163,70.64516129032258,81.12903225806451,24.70967741935484,28.93548387096774,56.67741935483871,58.806451612903224,7.548387096774194,8.838709677419354,22.451612903225808,24.129032258064516,13.677419354838708,14.419354838709676,19.225806451612904,19.516129032258064,8.64516129032258,10.387096774193548,22.612903225806452,24.870967741935484,13.161290322580646,17.967741935483872,11.35483870967742,9.193548387096774,7.548387096774194,6.516129032258065,4.354838709677419,5.419354838709677,17.580645161290324,16.483870967741936,W,11,W,1
2024_1228_1163,2024,Illinois,Connecticut,1228,1163,83.93548387096774,81.12903225806451,29.29032258064516,28.93548387096774,62.12903225806452,58.806451612903224,8.35483870967742,8.838709677419354,23.870967741935484,24.129032258064516,17,14.419354838709676,22.93548387096774,19.516129032258064,11.193548387096774,10.387096774193548,26.93548387096774,24.870967741935484,12.838709677419354,17.967741935483872,10.387096774193548,9.193548387096774,4.419354838709677,6.516129032258065,3.774193548387097,5.419354838709677,15.225806451612904,16.483870967741936,W,3,W,1
