"Season","DayNum","gameid","TeamName_A","TeamName_B","TeamID_A","TeamID_B","Win","Score_A","Score_B","FGM_A","FGM_B","FGA_A","FGA_B","FGM3_A","FGM3_B","FGA3_A","FGA3_B","FTM_A","FTM_B","FTA_A","FTA_B","OR_A","OR_B","DR_A","DR_B","Ast_A","Ast_B","TO_A","TO_B","Stl_A","Stl_B","Blk_A","Blk_B","PF_A","PF_B","Region_A","Seed_A","Region_B","Seed_B"
2003,134,1,"UNC Asheville","TX Southern",1421,1411,"A",71.2068965517241,72.8,24.3793103448276,24.7333333333333,56.7931034482759,55.2666666666667,6.48275862068965,5.93333333333333,18,18.5,15.9655172413793,17.4,20.9310344827586,28.0666666666667,12.2758620689655,13.1666666666667,23.1724137931034,24.8,13.0344827586207,14.2,16.2068965517241,15.2333333333333,7.06896551724138,6.43333333333333,3,2.23333333333333,19.1034482758621,18.3,"X","16","X","16"
2003,136,2,"Arizona","Vermont",1112,1436,"A",85.2142857142857,67.7931034482759,30.3214285714286,24.8275862068966,65.7142857142857,55.8620689655172,7.03571428571429,5.27586206896552,20.0714285714286,15.4827586206897,17.5357142857143,12.8620689655172,25,19.551724137931,15.1785714285714,12.9655172413793,27.6428571428571,25.7241379310345,17.6428571428571,14.2068965517241,14.7857142857143,14.0689655172414,8.46428571428571,6.86206896551724,4.21428571428571,2.96551724137931,17.75,15.8965517241379,"Z","01","Z","16"
2003,136,3,"Memphis","Arizona St",1272,1113,"B",74.5172413793103,75.9655172413793,26.2758620689655,27.2068965517241,60,56.8965517241379,7,4,20.0689655172414,12.5862068965517,14.9655172413793,17.551724137931,22.8965517241379,26.2068965517241,14.0689655172414,13.6896551724138,25.9655172413793,23.3103448275862,16.6206896551724,15.551724137931,13.7931034482759,14,7.37931034482759,5.20689655172414,5.06896551724138,4.24137931034483,18.7586206896552,19.4137931034483,"Z","07","Z","10"
2003,136,4,"C Michigan","Creighton",1141,1166,"A",79.3448275862069,79.2424242424242,26.6206896551724,28.6969696969697,52.6896551724138,57.4545454545455,6.82758620689655,7.96969696969697,17.9310344827586,20.4848484848485,19.2758620689655,13.8787878787879,25.1724137931034,20.030303030303,10.5862068965517,10.8787878787879,23.2758620689655,23.1818181818182,15.6206896551724,16.8181818181818,18.2413793103448,13.3636363636364,7.10344827586207,8.3939393939394,4,4.45454545454545,20.9655172413793,17.2727272727273,"Z","11","Z","06"
2003,136,5,"NC State","California",1301,1143,"B",72.4,74.4827586206897,24.3333333333333,27.3448275862069,53.3333333333333,58.7241379310345,7.96666666666667,6.41379310344828,22.5,17.0344827586207,15.7666666666667,13.3793103448276,20.4666666666667,19.5172413793103,9.73333333333333,11.2413793103448,22.0333333333333,24.3793103448276,14.6666666666667,16,14.2,14.1724137931034,7.76666666666667,6.55172413793103,3.06666666666667,2.79310344827586,18.6666666666667,17.1034482758621,"W","09","W","08"
2003,136,6,"Connecticut","BYU",1163,1140,"A",80.0333333333333,72.4516129032258,29.5333333333333,24.0322580645161,62.2,51.258064516129,6.06666666666667,6.19354838709677,15.7,16.1290322580645,14.9,18.1935483870968,22.1,24.1612903225806,14.7666666666667,10.8709677419355,27.9,24.4193548387097,15.6333333333333,13.4193548387097,15.8,13.741935483871,5.93333333333333,6.93548387096774,7.73333333333333,2.51612903225806,18.4,21.4193548387097,"X","05","X","12"
2003,136,7,"Duke","Colorado St",1181,1161,"A",81.9666666666667,74,27.3666666666667,26.4,60.3333333333333,52.1,7.33333333333333,4.2,20.6,11.5666666666667,19.9,17,28.0666666666667,24.2666666666667,13.7666666666667,10.8,23.1,23.4666666666667,13.8333333333333,15.5,14.0333333333333,16.1333333333333,8.5,5.33333333333333,5.13333333333333,4.23333333333333,21.2666666666667,20.5666666666667,"Z","03","Z","14"
2003,136,8,"Gonzaga","Cincinnati",1211,1153,"A",77.0645161290323,67.3214285714286,26.0645161290323,22.8928571428571,55.4516129032258,56.6785714285714,7.16129032258065,6.67857142857143,19.0645161290323,19.5,17.7741935483871,14.8571428571429,24.6451612903226,21.5357142857143,11.9354838709677,12.1428571428571,25.3225806451613,23.3928571428571,15.741935483871,12.2857142857143,14.5483870967742,10.6071428571429,6.80645161290323,5.17857142857143,3.51612903225806,4.25,18.6451612903226,18.9642857142857,"Z","09","Z","08"
2003,136,9,"WKU","Illinois",1443,1228,"B",73.0967741935484,75.4333333333333,25.7096774193548,27.1,55.9032258064516,55.8,7.70967741935484,7.43333333333333,21.0322580645161,20.1666666666667,13.9677419354839,13.8,21.0967741935484,19.1,12.1612903225806,9.73333333333333,23.258064516129,25.4,14.1935483870968,18.2666666666667,15.1612903225806,13.1666666666667,7.06451612903226,7,3.54838709677419,3.1,18.4516129032258,19.1333333333333,"Z","13","Z","04"
2003,136,10,"Utah St","Kansas",1429,1242,"B",65.9666666666667,81.3333333333333,23.7,30.2333333333333,51.9333333333333,62.3,4.03333333333333,4.8,12.1333333333333,14.1333333333333,14.5333333333333,16.0666666666667,20.2333333333333,24.1333333333333,12.6333333333333,14.3,22.3666666666667,26.9,13.9,16.7333333333333,12.2333333333333,14.9,5.06666666666667,10.1333333333333,2,4.9,16.1,16.7,"Z","15","Z","02"
